horizon,fold,model,MAE,RMSE,R2,MedAE
2,3,Naive,35.67323943661972,52.04429316173125,-0.6067981959700777,21.999999999999986
2,3,Rolling7,28.919876188467924,42.611231314237884,-0.07711797696354727,17.734613690422883
2,3,LastValidAQI,35.816901408450704,52.38785473698711,-0.6280822279162883,21.000000000000036
2,3,MonthlyMedian,26.71549295774648,38.70307699672062,0.11140043920382137,19.0
2,4,Ridge | AR + Weather,16.306351391574882,23.01651959197525,0.22672000561362915,12.320267723212996
2,4,Naive,18.938028169014085,27.98988750990081,-0.14356215553912444,12.999999999999996
2,4,Rolling7,18.01584327219551,25.531532756881973,0.04849462831616791,12.108315348353813
2,4,LastValidAQI,20.929577464788732,32.00114434573582,-0.494818575493319,13.000000000000021
2,4,MonthlyMedian,18.438028169014085,25.3974463615959,0.058462608244158054,13.999999999999993
2,5,Ridge | AR + Weather,17.269227262022685,23.65110538874325,0.3202565776836287,11.82492160076027
2,5,Naive,22.501408450704226,32.269987800990194,-0.26543467185937253,14.999999999999986
2,5,Rolling7,19.188371640941615,27.55012368496652,0.07766384506669977,12.081216407284796
2,5,LastValidAQI,22.180281690140845,32.09887892386608,-0.2520505299881053,14.0
2,5,MonthlyMedian,20.463380281690142,28.78936374407625,-0.007178069901543571,14.5
3,1,Ridge | AR + Weather,21.39774332383328,29.991424005758066,-0.1222859064138162,15.37977566274651
3,1,Naive,28.507042253521128,38.91963550920042,-0.8899349846839859,20.000000000000007
3,1,Rolling7,23.257104450710006,32.1337106298591,-0.28834178498834206,17.534211952972992
3,1,LastValidAQI,28.63943661971831,39.47147302924723,-0.9439093279624071,20.0
3,1,MonthlyMedian,33.71690140845071,40.21627272074448,-1.0179619371497828,30.0
3,2,Ridge | AR + Weather,29.218267188720837,44.73310236300545,0.0620096009109683,19.25748893970639
3,2,Naive,36.54929577464789,55.419094690711326,-0.43965758488924434,23.000000000000014
3,2,Rolling7,31.027628845727428,47.449227723817486,-0.055355194989104906,18.80400249314836
3,2,LastValidAQI,36.34366197183098,55.36073759990589,-0.43662722162571055,23.000000000000004
3,2,MonthlyMedian,28.83661971830986,42.640059191883445,0.1477324491614418,20.50000000000002
3,3,Ridge | AR + Weather,28.215695571262426,42.5595458183974,-0.07450657092944057,19.100212996128235
3,3,Naive,35.55211267605634,52.59965725802757,-0.6412734148663859,21.999999999999993
3,3,Rolling7,28.933641035076658,42.71893483151807,-0.08256987323014964,17.709653839966023
3,3,LastValidAQI,35.732394366197184,52.92511318489365,-0.661646730206592,21.999999999999993
3,3,MonthlyMedian,26.71549295774648,38.70307699672062,0.11140043920382137,19.0
3,4,Ridge | AR + Weather,17.564891898519004,24.031771277363443,0.15699717040029315,14.059511363723608
3,4,Naive,20.495774647887323,28.946380736570138,-0.223055060205968,14.000000000000007
3,4,Rolling7,18.60938732599922,25.799416545511125,0.028422972693401993,13.51579147695795
3,4,LastValidAQI,22.946478873239435,33.58210455702371,-0.6461647108565416,15.000000000000004
3,4,MonthlyMedian,18.43661971830986,25.397321584410662,0.05847185973308888,13.999999999999993
3,5,Ridge | AR + Weather,18.258939822790378,25.00111548875092,0.24044207452447386,13.305403271236834
3,5,Naive,22.90281690140845,32.4729464865929,-0.281402363878297,15.000000000000007
3,5,Rolling7,19.629328575564664,27.976646787292154,0.04888408947240275,12.658747857749674
3,5,LastValidAQI,22.532394366197185,32.159418045326696,-0.25677776782038664,15.000000000000004
3,5,MonthlyMedian,20.507042253521128,28.83151640181572,-0.010129598374305715,14.499999999999972
5,1,Ridge | AR + Weather,21.130971636202474,29.39178279194742,-0.07785711935707562,14.803907325794274
5,1,Naive,28.23380281690141,39.83228925891197,-0.9796110521938457,19.0
