fold,model,feature_set,MAE,RMSE,R2,MedAE
4,HistGradientBoosting,Full,14.77219469845321,22.69891138919818,0.247913960092628,9.713445471405642
4,Ridge,AR + Weather,14.81672710138623,21.23414931029344,0.3418464894640678,10.4328260265072
4,WeightedRidge,AR + Weather,18.900452812337385,27.03830137494814,-0.06712741540987399,13.5031924052535
4,RandomForest,AR + Weather,13.441816416544187,19.91258351879304,0.42122110114497646,8.23101572339035
4,HistGradientBoosting,AR + Weather,15.053119918868823,22.897476254686286,0.23469825582828685,9.835942893391191
4,Ridge,Weather only,14.354994718138059,20.922862115248087,0.36100177102996944,9.740180896767889
4,WeightedRidge,Weather only,18.401010429690384,26.78620329979084,-0.04732094725209168,13.182569612062082
4,RandomForest,Weather only,14.313580719600825,21.007578567849173,0.3558167006319072,9.874090815691872
4,HistGradientBoosting,Weather only,16.496405172544463,24.575398935535667,0.1184263078483564,10.26850258029912
4,Ridge,AR + Calendar,17.060794650663038,24.025266262567964,0.1574534833066451,12.878443156171592
4,WeightedRidge,AR + Calendar,21.04905492146424,28.129666295408896,-0.15501235206010633,15.395626314054006
4,RandomForest,AR + Calendar,15.83561168384279,22.969685751725972,0.2298637325261902,11.65508344954564
4,HistGradientBoosting,AR + Calendar,17.774197829227774,24.841697387292623,0.09921737080020343,12.68687825115206
4,Ridge,AR only,16.616847580542498,24.41430425562767,0.1299460690097668,11.67370242893523
4,WeightedRidge,AR only,19.149916479208414,26.70477486206868,-0.04096304113469129,14.226527888312596
4,RandomForest,AR only,16.10096820541034,23.807386123139537,0.17266594777164979,11.518020801037267
4,HistGradientBoosting,AR only,16.918116127246474,24.94805010184648,0.09148796744097165,12.157360286699337
5,Ridge,Full,14.929380856980629,20.78641805640156,0.47494905765494533,10.973417082071897
5,WeightedRidge,Full,18.793910962868544,26.434444593817126,0.1508537282232606,13.865295047710003
5,RandomForest,Full,14.74608783206769,20.785782835600322,0.47498114766518595,9.730768886973848
5,HistGradientBoosting,Full,15.095377401447372,21.255998208547553,0.450958545072763,10.702661198745012
5,Ridge,AR + Weather,14.835682969931051,20.627554117769165,0.48294398166239494,11.253886598736223
5,WeightedRidge,AR + Weather,18.413409485702495,25.764205995198914,0.19336761759586774,13.394499487289881
